Sector,Scenario,Collection,Holding,Sort_Test,Transport,Processing,Disposal,Manufacturing,Virgin_Material,External_Sales_Credit,TC
Aircraft manufacturing,High,5503.672,863.2875,24764.598,25161.41968860094,61236.27,2450.7207664507073,415993.2957358781,51999.161966984764,1142.823046709859,586829.6026112046
Aircraft manufacturing,Low,548.644,0.0,2468.898,2523.7763981785397,6172.245,246.90029863390475,619802.5938458117,77475.32423072646,115.21314027321907,709123.1686330773
Telecommunications,High,6838.7208,1794.8548,10174.6104,20989.808734328002,21419.9384,6708.0016280592,0.0,0.0,1029.07737564192,66896.85738674528
Telecommunications,Low,683.6512,0.0,1025.4768,2244.212825963339,2392.7792,749.1187563486745,0.0,0.0,115.01250265319798,6980.226279658816
Computer hardware refurbishment,High,3540.4875,255.4836,6360.7689,9537.19326891472,15340.3272,1473.1768918862933,45448.00028884709,6817.200043327063,840.5969940368457,87932.0406989383
Computer hardware refurbishment,Low,354.0025,0.0,637.2045,961.7878082484599,1557.611,149.57574433127988,89413.96493197535,13412.094739796305,83.365651133744,106402.87557321765
General retail,High,11489.7987,8473.2564,17701.26,29938.82320595653,24299.2737,6072.291862248448,0.0,0.0,642.0309119546581,97332.67295625032
General retail,Low,1149.2562,0.0,1915.427,3687.0016601890006,3447.7686,861.7747373048576,0.0,0.0,91.03579652012843,10970.19240097373
Carpet manufacturing,High,1890.2925,0.00975,2268.351,3528.8547514581146,4158.6424,504.3871514581141,29857.957726363693,2810.1607271871712,251.96161213547148,44766.69439433162
Carpet manufacturing,Low,188.7615,0.0,226.5138,352.35816981128033,415.2753,50.33976981128035,44316.091456367285,4170.926254716921,25.16735754717991,49695.09889315958
