Sector,Scenario,Max_Material_Balance_Error_units,Max_Demand_Balance_Error_units,Mean_Terminal_Unsorted_Units,Mean_Terminal_Sorted_Units,Min_TC,No_Return_Replications
Aircraft manufacturing,High,3.552713678800501e-14,5.684341886080802e-14,0.0107,1.5005,393249.41946770216,0
Aircraft manufacturing,Low,3.552713678800501e-15,6.927791673660977e-14,0.0,0.0,506619.21936854976,0
Telecommunications,High,2.2737367544323206e-13,2.913225216616411e-13,6.9559,82.8864,62072.791740239736,0
Telecommunications,Low,2.842170943040401e-14,2.7489122089718876e-13,0.0,0.0,4458.916262442904,0
Computer hardware refurbishment,High,1.7053025658242404e-13,2.2737367544323206e-13,1.3454,9.4645,42775.913367384994,0
Computer hardware refurbishment,Low,2.1316282072803006e-14,2.6290081223123707e-13,0.0,0.0,57661.66286959623,0
General retail,High,9.094947017729282e-13,1.5027978861326119e-12,289.6809,840.3327,82379.67042460173,0
General retail,Low,1.1368683772161603e-13,1.5436540934388177e-12,0.0,0.0,7925.586053366513,0
Carpet manufacturing,High,1.1368683772161603e-13,1.4210854715202004e-13,0.0,0.0001,20228.09575250938,0
Carpet manufacturing,Low,1.0658141036401503e-14,1.9184653865522705e-13,0.0,0.0,23316.411706809857,0
