Sector,Parameter,Direction,Baseline_Value,Perturbed_Value,Requested_Change_Percent,Actual_Change_Percent,Parameter_Changed,Clipped_Or_Rounded,N_Replications,Baseline_Typology,Typology,P_RCPI_Positive,RCPI_PI_2.5,RCPI_PI_97.5,Baseline_Mean_RCPI,Mean_RCPI,Delta_RCPI,Delta_RCPI_MCSE,Delta_RCPI_Valid_N,Baseline_Mean_MRR,Mean_MRR,Delta_MRR,Delta_MRR_MCSE,Delta_MRR_Valid_N,Baseline_Mean_VMD,Mean_VMD,Delta_VMD,Delta_VMD_MCSE,Delta_VMD_Valid_N,Baseline_Mean_CO2_Avoided,Mean_CO2_Avoided,Delta_CO2_Avoided,Delta_CO2_Avoided_MCSE,Delta_CO2_Avoided_Valid_N
Aircraft manufacturing,rho_high,minus_20_percent,0.6,0.48,-19.999999999999996,-19.999999999999996,True,False,10000,Sunny,Cloudy,1.0,0.097975364922749,0.17549230103327385,0.17270666835280535,0.1370229849215023,-0.03568368343130303,7.776094863220094e-05,10000,0.6927154511185661,0.69918476564787,0.00646931452930402,0.00013142520965523941,10000,0.3528692416236654,0.2849676306988309,-0.06790161092483447,8.686924037316726e-05,10000,861.1174458756793,696.7943892838581,-164.32305659182146,0.4255428807782098,10000
Aircraft manufacturing,rho_high,plus_20_percent,0.6,0.72,19.999999999999996,19.999999999999996,True,False,10000,Sunny,Sunny,1.0,0.1281059942594392,0.2519042076034678,0.17270666835280535,0.19074873165245873,0.018042063299653396,0.00017057985409063995,10000,0.6927154511185661,0.6572744535016424,-0.03544099761692367,0.0002919906368612566,10000,0.3528692416236654,0.4016605489264069,0.04879130730274154,0.0001958860429932767,10000,861.1174458756793,971.5654088202365,110.44796294455686,0.5818008672070178,10000
Aircraft manufacturing,recovery_yield_mean,minus_20_percent,0.7,0.5599999999999999,-19.999999999999996,-20.000000000000007,True,False,10000,Sunny,Cloudy,0.9999,0.054215349094672974,0.15281934522935037,0.17270666835280535,0.10351011175889625,-0.0691965565939091,3.938351327195848e-05,10000,0.6927154511185661,0.5541311314859366,-0.13858431963262943,6.45567884244487e-05,10000,0.3528692416236654,0.2822722636183117,-0.07059697800535362,4.7528386851013696e-05,10000,861.1174458756793,342.8665472848309,-518.2508985908486,0.4967276906695763,10000
Aircraft manufacturing,recovery_yield_mean,plus_20_percent,0.7,0.8400000000000001,19.999999999999996,20.000000000000018,True,False,10000,Sunny,Sunny,1.0,0.199089295945541,0.28296553397799923,0.17270666835280535,0.2429803338019845,0.07027366544917915,6.103832746325071e-05,10000,0.6927154511185661,0.8313174822623448,0.13860203114377878,0.00011227445621657263,10000,0.3528692416236654,0.4234756070872856,0.07060636546362029,6.676761423672281e-05,10000,861.1174458756793,1379.4356236333915,518.3181777577119,0.6046832707605534,10000
Aircraft manufacturing,sort_test_cost,minus_20_percent,180.0,144.0,-19.999999999999996,-19.999999999999996,True,False,10000,Sunny,Sunny,1.0,0.12974521601809685,0.22600759604263979,0.17270666835280535,0.17912163114169885,0.006414962788893499,2.7567237480466245e-06,10000,0.6927154511185661,0.6927154511185661,0.0,0.0,10000,0.3528692416236654,0.3528692416236654,0.0,0.0,10000,861.1174458756793,861.1174458756793,0.0,0.0,10000
Aircraft manufacturing,sort_test_cost,plus_20_percent,180.0,216.0,19.999999999999996,19.999999999999996,True,False,10000,Sunny,Sunny,1.0,0.1172570226714214,0.21287327952240206,0.17270666835280535,0.16630073309250326,-0.006405935260302093,2.7323313428232445e-06,10000,0.6927154511185661,0.6927154511185661,0.0,0.0,10000,0.3528692416236654,0.3528692416236654,0.0,0.0,10000,861.1174458756793,861.1174458756793,0.0,0.0,10000
Aircraft manufacturing,transport_cost,minus_20_percent,80.0,64.0,-19.999999999999996,-19.999999999999996,True,False,10000,Sunny,Sunny,1.0,0.1301126421208024,0.22584231889271664,0.17270666835280535,0.1792221622512163,0.006515493898410912,2.8634554384379577e-06,10000,0.6927154511185661,0.6927154511185661,0.0,0.0,10000,0.3528692416236654,0.3528692416236654,0.0,0.0,10000,861.1174458756793,861.1174458756793,0.0,0.0,10000
Aircraft manufacturing,transport_cost,plus_20_percent,80.0,96.0,19.999999999999996,19.999999999999996,True,False,10000,Sunny,Sunny,1.0,0.11690895723316122,0.21298716186201475,0.17270666835280535,0.16620053927694148,-0.006506129075863856,2.840184302220885e-06,10000,0.6927154511185661,0.6927154511185661,0.0,0.0,10000,0.3528692416236654,0.3528692416236654,0.0,0.0,10000,861.1174458756793,861.1174458756793,0.0,0.0,10000
Aircraft manufacturing,processing_cost,minus_20_percent,450.0,360.0,-19.999999999999996,-19.999999999999996,True,False,10000,Sunny,Sunny,1.0,0.1388312378979373,0.23590590925932325,0.17270666835280535,0.1885783837155986,0.01587171536279326,6.807922928379996e-06,10000,0.6927154511185661,0.6927154511185661,0.0,0.0,10000,0.3528692416236654,0.3528692416236654,0.0,0.0,10000,861.1174458756793,861.1174458756793,0.0,0.0,10000
Aircraft manufacturing,processing_cost,plus_20_percent,450.0,540.0,19.999999999999996,19.999999999999996,True,False,10000,Sunny,Sunny,1.0,0.10805213978300444,0.20306685466440347,0.17270666835280535,0.15689063775327577,-0.015816030599529587,6.67891021526012e-06,10000,0.6927154511185661,0.6927154511185661,0.0,0.0,10000,0.3528692416236654,0.3528692416236654,0.0,0.0,10000,861.1174458756793,861.1174458756793,0.0,0.0,10000
